Zeitraum,Menge HT (kWh),Menge NT (kWh),Menge Total (kWh),Maximale Leistung (kW)
28.12.2022 00:00 - 00:15,0,0.3109999895095825,0.3109999895095825,1.24399995803833
28.12.2022 00:15 - 00:30,0,0.29600000381469727,0.29600000381469727,1.184000015258789
28.12.2022 00:30 - 00:45,0,0.2879999876022339,0.2879999876022339,1.1519999504089355
28.12.2022 00:45 - 01:00,0,0.2849999964237213,0.2849999964237213,1.1399999856948853
28.12.2022 01:00 - 01:15,0,0.2590000033378601,0.2590000033378601,1.0360000133514404
28.12.2022 01:15 - 01:30,0,0.2669999897480011,0.2669999897480011,1.0679999589920044
28.12.2022 01:30 - 01:45,0,0.24500000476837158,0.24500000476837158,0.9800000190734863
28.12.2022 01:45 - 02:00,0,0.5260000228881836,0.5260000228881836,2.1040000915527344
28.12.2022 02:00 - 02:15,0,0.21199999749660492,0.21199999749660492,0.8479999899864197
28.12.2022 02:15 - 02:30,0,0.10499999672174454,0.10499999672174454,0.41999998688697815
28.12.2022 02:30 - 02:45,0,0.06400000303983688,0.06400000303983688,0.25600001215934753
28.12.2022 02:45 - 03:00,0,0.03500000014901161,0.03500000014901161,0.14000000059604645
28.12.2022 03:00 - 03:15,0,0.032999999821186066,0.032999999821186066,0.13199999928474426
28.12.2022 03:15 - 03:30,0,0.04100000113248825,0.04100000113248825,0.164000004529953
28.12.2022 03:30 - 03:45,0,0.06599999964237213,0.06599999964237213,0.2639999985694885
28.12.2022 03:45 - 04:00,0,0.06199999898672104,0.06199999898672104,0.24799999594688416
28.12.2022 04:00 - 04:15,0,0.03400000184774399,0.03400000184774399,0.13600000739097595
28.12.2022 04:15 - 04:30,0,0.03200000151991844,0.03200000151991844,0.12800000607967377
28.12.2022 04:30 - 04:45,0,0.03200000151991844,0.03200000151991844,0.12800000607967377
28.12.2022 04:45 - 05:00,0,0.07100000232458115,0.07100000232458115,0.2840000092983246
28.12.2022 05:00 - 05:15,0,0.057999998331069946,0.057999998331069946,0.23199999332427979
28.12.2022 05:15 - 05:30,0,0.03700000047683716,0.03700000047683716,0.14800000190734863
28.12.2022 05:30 - 05:45,0,0.03200000151991844,0.03200000151991844,0.12800000607967377
28.12.2022 05:45 - 06:00,0,0.03700000047683716,0.03700000047683716,0.14800000190734863
28.12.2022 06:00 - 06:15,0,0.05999999865889549,0.05999999865889549,0.23999999463558197
28.12.2022 06:15 - 06:30,0,0.05299999937415123,0.05299999937415123,0.21199999749660492
28.12.2022 06:30 - 06:45,0,0.03999999910593033,0.03999999910593033,0.1599999964237213
28.12.2022 06:45 - 07:00,0,0.03099999949336052,0.03099999949336052,0.12399999797344208
28.12.2022 07:00 - 07:15,0.04100000113248825,0,0.04100000113248825,0.164000004529953
28.12.2022 07:15 - 07:30,0.052000001072883606,0,0.052000001072883606,0.20800000429153442
28.12.2022 07:30 - 07:45,0.052000001072883606,0,0.052000001072883606,0.20800000429153442
28.12.2022 07:45 - 08:00,0.04600000008940697,0,0.04600000008940697,0.18400000035762787
28.12.2022 08:00 - 08:15,0.03200000151991844,0,0.03200000151991844,0.12800000607967377
28.12.2022 08:15 - 08:30,0.04500000178813934,0,0.04500000178813934,0.18000000715255737
28.12.2022 08:30 - 08:45,0.04100000113248825,0,0.04100000113248825,0.164000004529953
28.12.2022 08:45 - 09:00,0.05299999937415123,0,0.05299999937415123,0.21199999749660492
28.12.2022 09:00 - 09:15,0.04899999871850014,0,0.04899999871850014,0.19599999487400055
28.12.2022 09:15 - 09:30,0.039000000804662704,0,0.039000000804662704,0.15600000321865082
28.12.2022 09:30 - 09:45,0.04500000178813934,0,0.04500000178813934,0.18000000715255737
28.12.2022 09:45 - 10:00,0.03200000151991844,0,0.03200000151991844,0.12800000607967377
28.12.2022 10:00 - 10:15,0.05000000074505806,0,0.05000000074505806,0.20000000298023224
28.12.2022 10:15 - 10:30,0.05000000074505806,0,0.05000000074505806,0.20000000298023224
28.12.2022 10:30 - 10:45,0.05000000074505806,0,0.05000000074505806,0.20000000298023224
28.12.2022 10:45 - 11:00,0.03999999910593033,0,0.03999999910593033,0.1599999964237213
28.12.2022 11:00 - 11:15,0.04500000178813934,0,0.04500000178813934,0.18000000715255737
28.12.2022 11:15 - 11:30,0.05900000035762787,0,0.05900000035762787,0.23600000143051147
28.12.2022 11:30 - 11:45,0.07199999690055847,0,0.07199999690055847,0.2879999876022339
28.12.2022 11:45 - 12:00,0.07500000298023224,0,0.07500000298023224,0.30000001192092896
28.12.2022 12:00 - 12:15,0.04800000041723251,0,0.04800000041723251,0.19200000166893005
28.12.2022 12:15 - 12:30,0.12300000339746475,0,0.12300000339746475,0.492000013589859
28.12.2022 12:30 - 12:45,0.7509999871253967,0,0.7509999871253967,3.003999948501587
28.12.2022 12:45 - 13:00,0.6159999966621399,0,0.6159999966621399,2.4639999866485596
28.12.2022 13:00 - 13:15,0.12800000607967377,0,0.12800000607967377,0.5120000243186951
28.12.2022 13:15 - 13:30,0.10000000149011612,0,0.10000000149011612,0.4000000059604645
28.12.2022 13:30 - 13:45,0.1550000011920929,0,0.1550000011920929,0.6200000047683716
28.12.2022 13:45 - 14:00,0.13099999725818634,0,0.13099999725818634,0.5239999890327454
28.12.2022 14:00 - 14:15,0.13600000739097595,0,0.13600000739097595,0.5440000295639038
28.12.2022 14:15 - 14:30,0.11299999803304672,0,0.11299999803304672,0.4519999921321869
28.12.2022 14:30 - 14:45,0.12700000405311584,0,0.12700000405311584,0.5080000162124634
28.12.2022 14:45 - 15:00,0.09000000357627869,0,0.09000000357627869,0.36000001430511475
28.12.2022 15:00 - 15:15,0.0689999982714653,0,0.0689999982714653,0.2759999930858612
28.12.2022 15:15 - 15:30,0.04399999976158142,0,0.04399999976158142,0.17599999904632568
28.12.2022 15:30 - 15:45,0.020999999716877937,0,0.020999999716877937,0.08399999886751175
28.12.2022 15:45 - 16:00,0.04100000113248825,0,0.04100000113248825,0.164000004529953
28.12.2022 16:00 - 16:15,0.02199999988079071,0,0.02199999988079071,0.08799999952316284
28.12.2022 16:15 - 16:30,0.03500000014901161,0,0.03500000014901161,0.14000000059604645
28.12.2022 16:30 - 16:45,0.02800000086426735,0,0.02800000086426735,0.1120000034570694
28.12.2022 16:45 - 17:00,0.020999999716877937,0,0.020999999716877937,0.08399999886751175
28.12.2022 17:00 - 17:15,0.03999999910593033,0,0.03999999910593033,0.1599999964237213
28.12.2022 17:15 - 17:30,0.04600000008940697,0,0.04600000008940697,0.18400000035762787
28.12.2022 17:30 - 17:45,0.0430000014603138,0,0.0430000014603138,0.1720000058412552
28.12.2022 17:45 - 18:00,0.023000000044703484,0,0.023000000044703484,0.09200000017881393
28.12.2022 18:00 - 18:15,0.02199999988079071,0,0.02199999988079071,0.08799999952316284
28.12.2022 18:15 - 18:30,0.039000000804662704,0,0.039000000804662704,0.15600000321865082
28.12.2022 18:30 - 18:45,0.03200000151991844,0,0.03200000151991844,0.12800000607967377
28.12.2022 18:45 - 19:00,0.03200000151991844,0,0.03200000151991844,0.12800000607967377
28.12.2022 19:00 - 19:15,0.020999999716877937,0,0.020999999716877937,0.08399999886751175
28.12.2022 19:15 - 19:30,0.020999999716877937,0,0.020999999716877937,0.08399999886751175
28.12.2022 19:30 - 19:45,0.03999999910593033,0,0.03999999910593033,0.1599999964237213
28.12.2022 19:45 - 20:00,0.05400000140070915,0,0.05400000140070915,0.2160000056028366
28.12.2022 20:00 - 20:15,0.035999998450279236,0,0.035999998450279236,0.14399999380111694
28.12.2022 20:15 - 20:30,0.020999999716877937,0,0.020999999716877937,0.08399999886751175
28.12.2022 20:30 - 20:45,0.020999999716877937,0,0.020999999716877937,0.08399999886751175
28.12.2022 20:45 - 21:00,0.04500000178813934,0,0.04500000178813934,0.18000000715255737
28.12.2022 21:00 - 21:15,0.035999998450279236,0,0.035999998450279236,0.14399999380111694
28.12.2022 21:15 - 21:30,0.04100000113248825,0,0.04100000113248825,0.164000004529953
28.12.2022 21:30 - 21:45,0.07500000298023224,0,0.07500000298023224,0.30000001192092896
28.12.2022 21:45 - 22:00,0.0729999989271164,0,0.0729999989271164,0.2919999957084656
28.12.2022 22:00 - 22:15,0,0.09000000357627869,0.09000000357627869,0.36000001430511475
28.12.2022 22:15 - 22:30,0,0.25699999928474426,0.25699999928474426,1.027999997138977
28.12.2022 22:30 - 22:45,0,0.4390000104904175,0.4390000104904175,1.75600004196167
28.12.2022 22:45 - 23:00,0,0.5210000276565552,0.5210000276565552,2.0840001106262207
28.12.2022 23:00 - 23:15,0,0.1770000010728836,0.1770000010728836,0.7080000042915344
28.12.2022 23:15 - 23:30,0,0.0689999982714653,0.0689999982714653,0.2759999930858612
28.12.2022 23:30 - 23:45,0,0.05400000140070915,0.05400000140070915,0.2160000056028366
28.12.2022 23:45 - 00:00,0,0.04699999839067459,0.04699999839067459,0.18799999356269836
29.12.2022 00:00 - 00:15,0,0.024000000208616257,0.024000000208616257,0.09600000083446503
29.12.2022 00:15 - 00:30,0,0.03200000151991844,0.03200000151991844,0.12800000607967377
29.12.2022 00:30 - 00:45,0,0.03700000047683716,0.03700000047683716,0.14800000190734863
29.12.2022 00:45 - 01:00,0,0.029999999329447746,0.029999999329447746,0.11999999731779099
29.12.2022 01:00 - 01:15,0,0.07000000029802322,0.07000000029802322,0.2800000011920929
29.12.2022 01:15 - 01:30,0,0.05400000140070915,0.05400000140070915,0.2160000056028366
29.12.2022 01:30 - 01:45,0,0.032999999821186066,0.032999999821186066,0.13199999928474426
29.12.2022 01:45 - 02:00,0,0.03200000151991844,0.03200000151991844,0.12800000607967377
29.12.2022 02:00 - 02:15,0,0.027000000700354576,0.027000000700354576,0.1080000028014183
29.12.2022 02:15 - 02:30,0,0.04100000113248825,0.04100000113248825,0.164000004529953
29.12.2022 02:30 - 02:45,0,0.02800000086426735,0.02800000086426735,0.1120000034570694
29.12.2022 02:45 - 03:00,0,0.03799999877810478,0.03799999877810478,0.15199999511241913
29.12.2022 03:00 - 03:15,0,0.03099999949336052,0.03099999949336052,0.12399999797344208
29.12.2022 03:15 - 03:30,0,0.026000000536441803,0.026000000536441803,0.10400000214576721
29.12.2022 03:30 - 03:45,0,0.03200000151991844,0.03200000151991844,0.12800000607967377
29.12.2022 03:45 - 04:00,0,0.04899999871850014,0.04899999871850014,0.19599999487400055
29.12.2022 04:00 - 04:15,0,0.04899999871850014,0.04899999871850014,0.19599999487400055
29.12.2022 04:15 - 04:30,0,0.023000000044703484,0.023000000044703484,0.09200000017881393
29.12.2022 04:30 - 04:45,0,0.02199999988079071,0.02199999988079071,0.08799999952316284
29.12.2022 04:45 - 05:00,0,0.027000000700354576,0.027000000700354576,0.1080000028014183
29.12.2022 05:00 - 05:15,0,0.04800000041723251,0.04800000041723251,0.19200000166893005
29.12.2022 05:15 - 05:30,0,0.03200000151991844,0.03200000151991844,0.12800000607967377
29.12.2022 05:30 - 05:45,0,0.02199999988079071,0.02199999988079071,0.08799999952316284
29.12.2022 05:45 - 06:00,0,0.02199999988079071,0.02199999988079071,0.08799999952316284
